sim mode,gamma,epsilon,beta,seed,mean lifetime,
hi,0.5,0.75,1.77588,4,1145,
hi,0.5,0.75,1.77588,5,1145,
hi,0.5,0.75,1.77588,6,1145,
hi,0.5,0.75,1.77588,7,1145,
hi,0.5,0.75,1.77588,8,1165,
hi,0.5,0.75,1.77588,9,1145,
hi,0.5,0.8,0.93135,0,1145,
hi,0.5,0.8,0.93135,1,1145,
hi,0.5,0.8,0.93135,2,1145,
hi,0.5,0.8,0.93135,3,1145,
hi,0.5,0.8,0.93135,4,1152,
hi,0.5,0.8,0.93135,5,1145,
hi,0.5,0.8,0.93135,6,1175,
hi,0.5,0.8,0.93135,7,1145,
hi,0.5,0.8,0.93135,8,1165,
hi,0.5,0.8,0.93135,9,1145,
hi,0.5,0.85,0.50794,0,1145,
hi,0.5,0.85,0.50794,1,1145,
hi,0.5,0.85,0.50794,2,1145,
hi,0.5,0.85,0.50794,3,1145,
hi,0.5,0.85,0.50794,4,1152,
hi,0.5,0.85,0.50794,5,1145,
hi,0.5,0.85,0.50794,6,1175,
hi,0.5,0.85,0.50794,7,1145,
hi,0.5,0.85,0.50794,8,1145,
hi,0.5,0.85,0.50794,9,1145,
hi,0.5,0.9,0.2868,0,1145,
hi,0.5,0.9,0.2868,1,1145,
hi,0.5,0.9,0.2868,2,1145,
hi,0.5,0.9,0.2868,3,1165,
hi,0.5,0.9,0.2868,4,1152,
hi,0.5,0.9,0.2868,5,1145,
hi,0.5,0.9,0.2868,6,1175,
hi,0.5,0.9,0.2868,7,1145,
hi,0.5,0.9,0.2868,8,1145,
hi,0.5,0.9,0.2868,9,1145,
hi,1.0,0.5,103.09278,0,1067,
hi,1.0,0.5,103.09278,1,1133,
hi,1.0,0.5,103.09278,2,1145,
hi,1.0,0.5,103.09278,3,1165,
hi,1.0,0.5,103.09278,4,1133,
hi,1.0,0.5,103.09278,5,1067,
hi,1.0,0.5,103.09278,6,1067,
hi,1.0,0.5,103.09278,7,1133,
hi,1.0,0.5,103.09278,8,1165,
hi,1.0,0.5,103.09278,9,1067,
hi,1.0,0.6,16.55629,0,1067,
hi,1.0,0.6,16.55629,1,1133,
hi,1.0,0.6,16.55629,2,1148,
hi,1.0,0.6,16.55629,3,1148,
hi,1.0,0.6,16.55629,4,1133,
hi,1.0,0.6,16.55629,5,1067,
hi,1.0,0.6,16.55629,6,1148,
hi,1.0,0.6,16.55629,7,1208,
hi,1.0,0.6,16.55629,8,1165,
hi,1.0,0.6,16.55629,9,1067,
hi,1.0,0.7,3.54107,0,1152,
hi,1.0,0.7,3.54107,1,1208,
hi,1.0,0.7,3.54107,2,1145,
hi,1.0,0.7,3.54107,3,1165,
hi,1.0,0.7,3.54107,4,1133,
hi,1.0,0.7,3.54107,5,1148,
hi,1.0,0.7,3.54107,6,1148,
hi,1.0,0.7,3.54107,7,1133,
hi,1.0,0.7,3.54107,8,1165,
hi,1.0,0.7,3.54107,9,1067,
hi,1.0,0.75,1.77588,0,1067,
hi,1.0,0.75,1.77588,1,1208,
hi,1.0,0.75,1.77588,2,1148,
hi,1.0,0.75,1.77588,3,1165,
hi,1.0,0.75,1.77588,4,1133,
hi,1.0,0.75,1.77588,5,1148,
hi,1.0,0.75,1.77588,6,1148,
hi,1.0,0.75,1.77588,7,1133,
hi,1.0,0.75,1.77588,8,1165,
hi,1.0,0.75,1.77588,9,1145,
hi,1.0,0.8,0.93135,0,1067,
hi,1.0,0.8,0.93135,1,1133,
hi,1.0,0.8,0.93135,2,1148,
hi,1.0,0.8,0.93135,3,1208,
hi,1.0,0.8,0.93135,4,1067,
hi,1.0,0.8,0.93135,5,1148,
hi,1.0,0.8,0.93135,6,1152,
hi,1.0,0.8,0.93135,7,1133,
hi,1.0,0.8,0.93135,8,1165,
hi,1.0,0.8,0.93135,9,1148,
hi,1.0,0.85,0.50794,0,1148,
hi,1.0,0.85,0.50794,1,1148,
hi,1.0,0.85,0.50794,2,1145,
hi,1.0,0.85,0.50794,3,1208,
hi,1.0,0.85,0.50794,4,1133,
hi,1.0,0.85,0.50794,5,1148,
hi,1.0,0.85,0.50794,6,1165,
hi,1.0,0.85,0.50794,7,1133,
hi,1.0,0.85,0.50794,8,1165,
hi,1.0,0.85,0.50794,9,1145,
hi,1.0,0.9,0.2868,0,1145,
hi,1.0,0.9,0.2868,1,1145,
hi,1.0,0.9,0.2868,2,1148,
hi,1.0,0.9,0.2868,3,1165,
hi,1.0,0.9,0.2868,4,1152,
hi,1.0,0.9,0.2868,5,1148,
hi,1.0,0.9,0.2868,6,1208,
hi,1.0,0.9,0.2868,7,1145,
hi,1.0,0.9,0.2868,8,1165,
hi,1.0,0.9,0.2868,9,1145,
hi,10.0,0.5,103.09278,0,1118,
hi,10.0,0.5,103.09278,1,1133,
hi,10.0,0.5,103.09278,2,1058,
hi,10.0,0.5,103.09278,3,1090,
hi,10.0,0.5,103.09278,4,1118,
hi,10.0,0.5,103.09278,5,1133,
hi,10.0,0.5,103.09278,6,1084,
hi,10.0,0.5,103.09278,7,1165,
hi,10.0,0.5,103.09278,8,1049,
hi,10.0,0.5,103.09278,9,1070,
hi,10.0,0.6,16.55629,0,1118,
hi,10.0,0.6,16.55629,1,1161,
hi,10.0,0.6,16.55629,2,1133,
hi,10.0,0.6,16.55629,3,1109,
hi,10.0,0.6,16.55629,4,1075,
hi,10.0,0.6,16.55629,5,1133,
hi,10.0,0.6,16.55629,6,1084,
hi,10.0,0.6,16.55629,7,1081,
hi,10.0,0.6,16.55629,8,1075,
hi,10.0,0.6,16.55629,9,1133,
hi,10.0,0.7,3.54107,0,1118,
