sim mode,gamma,epsilon,beta,seed,mean lifetime,
med,0.5,0.75,1.77588,0,968,
med,0.5,0.75,1.77588,1,960,
med,0.5,0.75,1.77588,2,960,
med,0.5,0.75,1.77588,3,960,
med,0.5,0.75,1.77588,4,952,
med,0.5,0.75,1.77588,5,961,
med,0.5,0.75,1.77588,6,953,
med,0.5,0.75,1.77588,7,960,
med,0.5,0.75,1.77588,8,962,
med,0.5,0.75,1.77588,9,960,
med,0.5,0.8,0.93135,0,960,
med,0.5,0.8,0.93135,1,960,
med,0.5,0.8,0.93135,2,960,
med,0.5,0.8,0.93135,3,960,
med,0.5,0.8,0.93135,4,969,
med,0.5,0.8,0.93135,5,961,
med,0.5,0.8,0.93135,6,953,
med,0.5,0.8,0.93135,7,962,
med,0.5,0.8,0.93135,8,962,
med,0.5,0.8,0.93135,9,969,
med,0.5,0.85,0.50794,0,960,
med,0.5,0.85,0.50794,1,960,
med,0.5,0.85,0.50794,2,960,
med,0.5,0.85,0.50794,3,960,
med,0.5,0.85,0.50794,4,953,
med,0.5,0.85,0.50794,5,961,
med,0.5,0.85,0.50794,6,953,
med,0.5,0.85,0.50794,7,958,
med,0.5,0.85,0.50794,8,962,
med,0.5,0.85,0.50794,9,965,
med,0.5,0.9,0.2868,0,969,
med,0.5,0.9,0.2868,1,960,
med,0.5,0.9,0.2868,2,945,
med,0.5,0.9,0.2868,3,960,
med,0.5,0.9,0.2868,4,966,
med,0.5,0.9,0.2868,5,962,
med,0.5,0.9,0.2868,6,953,
med,0.5,0.9,0.2868,7,960,
med,0.5,0.9,0.2868,8,962,
med,0.5,0.9,0.2868,9,960,
med,1.0,0.7,3.54107,0,962,
med,1.0,0.7,3.54107,1,969,
med,1.0,0.7,3.54107,2,967,
med,1.0,0.7,3.54107,3,960,
med,1.0,0.7,3.54107,4,945,
med,1.0,0.7,3.54107,5,969,
med,1.0,0.7,3.54107,6,962,
med,1.0,0.7,3.54107,7,960,
med,1.0,0.7,3.54107,8,962,
med,1.0,0.7,3.54107,9,969,
med,1.0,0.75,1.77588,0,959,
med,1.0,0.75,1.77588,1,970,
med,1.0,0.75,1.77588,2,962,
med,1.0,0.75,1.77588,3,960,
med,1.0,0.75,1.77588,4,945,
med,1.0,0.75,1.77588,5,962,
med,1.0,0.75,1.77588,6,960,
med,1.0,0.75,1.77588,7,967,
med,1.0,0.75,1.77588,8,969,
med,1.0,0.75,1.77588,9,969,
med,1.0,0.8,0.93135,0,962,
med,1.0,0.8,0.93135,1,931,
med,1.0,0.8,0.93135,2,962,
med,1.0,0.8,0.93135,3,967,
med,1.0,0.8,0.93135,4,966,
med,1.0,0.8,0.93135,5,961,
med,1.0,0.8,0.93135,6,960,
med,1.0,0.8,0.93135,7,969,
med,1.0,0.8,0.93135,8,969,
med,1.0,0.8,0.93135,9,969,
med,1.0,0.85,0.50794,0,956,
med,1.0,0.85,0.50794,1,950,
med,1.0,0.85,0.50794,2,940,
med,1.0,0.85,0.50794,3,967,
med,1.0,0.85,0.50794,4,960,
med,1.0,0.85,0.50794,5,959,
med,1.0,0.85,0.50794,6,962,
med,1.0,0.85,0.50794,7,967,
med,1.0,0.85,0.50794,8,960,
med,1.0,0.85,0.50794,9,969,
med,1.0,0.9,0.2868,0,953,
med,1.0,0.9,0.2868,1,960,
med,1.0,0.9,0.2868,2,960,
med,1.0,0.9,0.2868,3,960,
med,1.0,0.9,0.2868,4,967,
med,1.0,0.9,0.2868,5,959,
med,1.0,0.9,0.2868,6,963,
med,1.0,0.9,0.2868,7,960,
med,1.0,0.9,0.2868,8,965,
med,1.0,0.9,0.2868,9,969,
med,10.0,0.7,3.54107,0,960,
med,10.0,0.7,3.54107,1,964,
med,10.0,0.7,3.54107,2,968,
med,10.0,0.7,3.54107,3,962,
med,10.0,0.7,3.54107,4,960,
med,10.0,0.7,3.54107,5,953,
med,10.0,0.7,3.54107,6,962,
med,10.0,0.7,3.54107,7,964,
med,10.0,0.7,3.54107,8,966,
med,10.0,0.7,3.54107,9,964,
med,10.0,0.75,1.77588,0,962,
med,10.0,0.75,1.77588,1,969,
med,10.0,0.75,1.77588,2,968,
med,10.0,0.75,1.77588,3,954,
med,10.0,0.75,1.77588,4,970,
med,10.0,0.75,1.77588,5,964,
med,10.0,0.75,1.77588,6,970,
med,10.0,0.75,1.77588,7,971,
